Product name,type of product,state,description
Adilabad Dokra,Non Food Products Metal / Craft,Telangana,"Adilabad Dokra is a traditional tribal metal craft from Telangana made using the ancient lost-wax (cire perdue) casting technique. Artisans from the Woj community create brass objects such as idols of local deities, animals, jewelry, bells, lamps, and decorative items. Each piece is unique, as replicas are nearly impossible. The craft has historical roots dating back thousands of years, with evidence linked to tribal traditions and ancient practices like those seen in Mohenjo-daro. It is labor-intensive, follows traditional designs with some modern adaptations, and is widely valued in domestic and international markets."
Agates of Cambay,Non Food Products Extraction / Agate,Gujarat,"Agates of Cambay are semi-precious stones made of silica and classified under quartz and chalcedony. They are formed in volcanic rock cavities and found in various colors, patterns, and forms such as banded, moss, and geode agates. These stones are used for jewelry, ornaments, and decoration. They are durable (Mohs hardness ~7) and widely available. Agates are also associated with emotional, physical, and metaphysical uses such as stress relief, protection, and confidence building, though these are belief-based. Variants like black agate, banded agate, and moss agate have specific characteristics and uses."
Agra Durrie,Non Food Products Vegetal-based fibres and textile / Carpet,Uttar Pradesh,"Agra Durrie is a traditional flat-woven carpet from Agra made using cotton and other fibers. The craft has historical roots linked to ancient and Mughal periods. Production involves a structured supply chain including traders, master weavers, and workers. Master weavers produce carpets using family or hired labor, while workers contribute skilled labor without capital investment. These durable carpets are used in households and are known for their practical designs and traditional weaving techniques."
Allagadda Stone Carving,Non Food Products Processed minerals / Stone carving product,Andhra Pradesh,"Allagadda Stone Carving is a traditional craft from Andhra Pradesh where artisans carve sandstone and black stone into idols and sculptures based on ancient Shilpa Sastra principles in Vijayanagara style. The stones are locally sourced, semi-hard, durable, and heat-resistant, allowing detailed and large-scale carvings. Artisans use traditional tools like chisels, hammers, and polishing materials, and typically work on a single piece at a time. The craft is highly skilled, passed through generations, and recognized for its precision, religious significance, and demand in domestic and international markets."
Alleppey Coir,Non Food Products Vegetal-based fibres and textile / Coir yarn,Kerala,"Alleppey Coir is a traditional industry in Kerala that produces coir products from coconut fiber, including mats, ropes, and carpets. Initially developed by European enterprises, it later became decentralized after independence into thousands of small-scale units. Artisans spin, dye, and weave coir using traditional methods in household and cottage industries. The sector includes exporters, cooperatives, and workers, supported by the Coir Board for standardization, quality control, and welfare. The products are durable and widely exported."
Andhra Pradesh Leather Puppetry,Non Food Products Leather and leather based products / Puppet,Andhra Pradesh,"Andhra Pradesh Leather Puppetry, known as Tholu Bommalata, is an ancient performing art dating back to at least the 3rd century BCE. It uses intricately designed leather puppets to depict stories from epics like the Ramayana and Mahabharata. The craft is practiced in regions like Nimmalakunta and Narsaraopet. Artisans have adapted by creating decorative items such as lampshades, wall hangings, and partitions while preserving traditional techniques like detailed punching work. The craft remains a hereditary art form passed through generations."
Applique (Khatwa) Work of Bihar,Non Food Products Vegetal-based fibres and textile / Fabric,Bihar,"Applique (Khatwa) Work of Bihar is a traditional fabric craft practiced mainly by women in Sitamarhi and Madhubani. It involves stitching pieces of cloth onto a base fabric to create decorative and narrative designs. Originally used for functional stitching of layered cloth, it evolved into an artistic expression depicting mythology, nature, and contemporary life. Products include wall hangings, cushion covers, garments, and decorative textiles. The craft reflects cultural themes influenced by local life, media, and personal experiences."
Arani Silk,Non Food Products Animal-based fibres and textile / Silk,Tamil Nadu,"Arani Silk is a traditional silk weaving craft from Tamil Nadu known for producing high-quality sarees using mulberry silk and zari. The craft has historical references in colonial records and involves multiple processes such as dyeing, warping, sizing, and weaving. Production includes preparing warp and weft, dyeing with color-fixing techniques, and weaving on looms to produce sarees of various lengths. Unique features include detailed pallu designs and the use of local water that enhances fabric shine. The craft is labor-intensive and traditionally family-based."
Aranmula Kannadi,Non Food Products Metal / Metal mirror,Kerala,"Aranmula Kannadi is a unique handmade metal mirror made in Kerala using a special alloy of copper and tin. Unlike glass mirrors, it provides reflection from a polished metal surface. The craft is traditionally practiced by a limited number of artisan families and involves precise alloy composition and polishing techniques. It is known for its uniqueness and cultural significance."
Arumbavur Wood Carvings,Non Food Products Wooden products / Carving wood craft,Tamil Nadu,"Arumbavur Wood Carvings is a traditional craft from Tamil Nadu involving detailed carving of wood into temple cars, idols, and decorative items. The craft originated from artisans who migrated and settled in Arumbavur and follows ancient Shilpa Sastra guidelines. Various woods like mango, teak, and rosewood are used, and artisans rely on traditional tools instead of machines. The work is highly detailed, labor-intensive, and carried out in stages by multiple artisans. The craft is historically significant and passed down through generations."
Bagh Prints of Madhya Pradesh,Non Food Products Vegetal-based fibres and textile / Printed fabric,Madhya Pradesh,"Bagh Prints are a traditional hand block printing craft practiced in Bagh village of Madhya Pradesh, known for their use of natural dyes and hand-carved wooden blocks. The process involves printing geometric and floral motifs on cotton and silk fabrics using vegetable-based colors, primarily red and black, followed by washing in river water to enhance color fastness."
Bagru Hand Block Print,Non Food Products Vegetal-based fibres and textile / Printing,Rajasthan,"Traditional hand block printing practiced in Bagru for over 300 years, represented by artisan groups engaged in continuous production and trade of printed textiles."
Balaramapuram Sarees and Fine Cotton Fabrics,Non Food Products Vegetal-based fibres and textile / Cotton sarees,Kerala,"Balaramapuram sarees are fine handwoven cotton textiles from Kerala, produced using traditional pit looms with high-quality yarn. Known for their simplicity, durability, and elegant golden zari borders (kasavu), these fabrics reflect a centuries-old weaving tradition and are widely used for sarees, mundu, and veshti."
Baluchari Saree,Non Food Products Animal-based fibres and textile / Sarees,West Bengal,"Baluchari sarees are richly woven silk sarees from West Bengal, distinguished by intricate motifs depicting mythological scenes, historical narratives, and cultural themes on the pallu. Produced using jacquard looms, these sarees are known for their artistic storytelling and fine silk craftsmanship."
Banaras Brocades and Sarees,Non Food Products Vegetal-based fibres and textile / Silk sarees,Uttar Pradesh,Handloom silk brocades and sarees produced in Varanasi under the guidance of handloom authorities and traditional weaving practices.
Banaras Gulabi Meenakari Craft,Non Food Products Metal / Figurine,Uttar Pradesh,"A traditional enamel craft of Banaras practiced for generations, supporting around 100 artisan families. Known for preserving cultural heritage, though facing challenges from rising material costs and competition from cheaper imitations."
Banaras Hand Block Print,Non Food Products / Animal-based fibres and textile,Uttar Pradesh,"Banaras Hand Block Print textiles are traditional fabrics produced in Varanasi using hand-carved wooden blocks and natural or synthetic dyes. The craft is characterized by intricate floral and Mughal-inspired motifs printed on silk and other fabrics, reflecting the rich textile heritage of the region"
Banaras Metal Repouse Craft,Non Food Products Metal / Door plates cutlery temple decorations,Uttar Pradesh,"A traditional handcrafted metal embossing (repoussé) art of Varanasi practiced for generations by artisan communities. It involves shaping and decorating thin metal sheets using chasing and embossing techniques with detailed motifs. The process is entirely manual, using traditional tools and multiple stages including design transfer, embossing, heating, cleaning, and polishing. The craft is historically significant, linked to temple art and heritage structures, and continues as a primary livelihood for artisan families."
Banaras Wood Carving,Non Food Products / Wooden products / Carved wood - handicraft,Uttar Pradesh,"Banaras Wood Carving is a traditional handicraft of Varanasi involving the shaping and carving of wood into decorative and utilitarian items. Artisans create finely detailed designs on furniture, toys, and religious artifacts, often finished with lacquer work and vibrant colors."
Banaras Zardozi,Non Food Products / Others / Embroidery - handicraft,Uttar Pradesh,"Banaras Zardozi is an elaborate form of hand embroidery practiced in Varanasi, using gold and silver threads along with beads and sequins on fabrics like silk and velvet. Known for its intricate patterns and royal appeal, it has historically been associated with garments for royalty and ceremonial wear"
Bankura Panchmura Terracotta Craft,Non Food Products Processed minerals / Craft,West Bengal,"Bankura Panchmura Terracotta Craft is a traditional clay art from West Bengal, especially known for the iconic Bankura horse. Crafted using locally available clay and fired in kilns, these terracotta figures are valued for their stylized forms and cultural significance in rituals and decoration."
Bastar Iron Craft,Non Food Products Metal / Figurine,Chhattisgarh,"Traditional iron craft of Bastar practiced by artisans, reflecting longstanding metalworking traditions."
Bastar Wooden Craft,Non Food Products Wooden products / Carving craft,Chhattisgarh,"Traditional wood carving craft of Bastar with established methods of production and recognized uniqueness, practiced by local artisans."
Bell Metal Ware of Datia and Tikamgarh,Non Food Products Metal / Bell,Madhya Pradesh,"Traditional bell metal craft using the lost-wax casting process. Artisans create mud moulds, apply wax designs, and cast metal alloys such as brass, zinc, copper, and silver. The process involves mould preparation, wax modeling, furnace heating, metal pouring, finishing, and polishing, often using recycled metal materials."
Bengal Dokra,Non Food Products Processed minerals / Handicraft,West Bengal,"A traditional metal casting craft of West Bengal using the ancient lost-wax (cire perdue) technique. Practiced in districts like Bankura, Purulia, and Bardhaman, it involves clay core making, wax modeling, moulding, de-waxing, metal pouring, and finishing using materials like brass, clay, wax, and natural resins."
Bengal Patachitra,Non Food Products Others / Painting,West Bengal,"A traditional scroll painting art of West Bengal depicting religious and secular themes through narrative sequences. Produced mainly in districts like Paschim Medinipur, Bankura, and Birbhum, it features vertical or horizontal scrolls and single panels, often accompanied by songs. Natural dyes and handmade tools are used in its production."
Berhampur Patta (Phoda Kumbha) Saree & Joda,Non Food Products Animal-based fibres and textile / Silk sarees,Odisha,"Traditional silk saree and joda produced under the supervision of the Directorate of Textiles and Handloom, Odisha."
Bhagalpur Silk,Non Food Products Animal-based fibres and textile / Silk,Bihar,"Bhagalpur Silk, also known as Tussar silk, is a natural silk produced in Bihar using wild silkworm cocoons. Renowned for its texture, durability, and natural golden sheen, it is widely used for sarees, shawls, and other garments, making Bhagalpur known as the “Silk City” of India."
